CulmenLength,CulmenDepth,FlipperLength,BodyMass,Species
46.1,13.2,211,4500,1
50,16.3,230,5700,1
48.7,14.1,210,4450,1
50,15.2,218,5700,1
47.6,14.5,215,5400,1
46.5,13.5,210,4550,1
45.4,14.6,211,4800,1
46.7,15.3,219,5200,1
43.3,13.4,209,4400,1
46.8,15.4,215,5150,1
40.9,13.7,214,4650,1
49,16.1,216,5550,1
45.5,13.7,214,4650,1
48.4,14.6,213,5850,1
45.8,14.6,210,4200,1
49.3,15.7,217,5850,1
42,13.5,210,4150,1
49.2,15.2,221,6300,1
46.2,14.5,209,4800,1
48.7,15.1,222,5350,1
50.2,14.3,218,5700,1
45.1,14.5,215,5000,1
46.5,14.5,213,4400,1
46.3,15.8,215,5050,1
42.9,13.1,215,5000,1
46.1,15.1,215,5100,1
44.5,14.3,216,4100,1
47.8,15,215,5650,1
48.2,14.3,210,4600,1
50,15.3,220,5550,1
47.3,15.3,222,5250,1
42.8,14.2,209,4700,1
45.1,14.5,207,5050,1
59.6,17,230,6050,1
49.1,14.8,220,5150,1
48.4,16.3,220,5400,1
42.6,13.7,213,4950,1
44.4,17.3,219,5250,1
44,13.6,208,4350,1
48.7,15.7,208,5350,1
42.7,13.7,208,3950,1
49.6,16,225,5700,1
45.3,13.7,210,4300,1
49.6,15,216,4750,1
50.5,15.9,222,5550,1
43.6,13.9,217,4900,1
45.5,13.9,210,4200,1
50.5,15.9,225,5400,1
44.9,13.3,213,5100,1
45.2,15.8,215,5300,1
46.6,14.2,210,4850,1
48.5,14.1,220,5300,1
45.1,14.4,210,4400,1
50.1,15,225,5000,1
46.5,14.4,217,4900,1
45,15.4,220,5050,1
43.8,13.9,208,4300,1
45.5,15,220,5000,1
43.2,14.5,208,4450,1
50.4,15.3,224,5550,1
45.3,13.8,208,4200,1
46.2,14.9,221,5300,1
45.7,13.9,214,4400,1
54.3,15.7,231,5650,1
45.8,14.2,219,4700,1
49.8,16.8,230,5700,1
46.2,14.4,214,4650,1
49.5,16.2,229,5800,1
43.5,14.2,220,4700,1
50.7,15,223,5550,1
47.7,15,216,4750,1
46.4,15.6,221,5000,1
48.2,15.6,221,5100,1
46.5,14.8,217,5200,1
46.4,15,216,4700,1
48.6,16,230,5800,1
47.5,14.2,209,4600,1
51.1,16.3,220,6000,1
45.2,13.8,215,4750,1
45.2,16.4,223,5950,1
49.1,14.5,212,4625,1
52.5,15.6,221,5450,1
47.4,14.6,212,4725,1
50,15.9,224,5350,1
44.9,13.8,212,4750,1
50.8,17.3,228,5600,1
43.4,14.4,218,4600,1
51.3,14.2,218,5300,1
47.5,14,212,4875,1
52.1,17,230,5550,1
47.5,15,218,4950,1
52.2,17.1,228,5400,1
45.5,14.5,212,4750,1
49.5,16.1,224,5650,1
44.5,14.7,214,4850,1
50.8,15.7,226,5200,1
49.4,15.8,216,4925,1
46.9,14.6,222,4875,1
48.4,14.4,203,4625,1
51.1,16.5,225,5250,1
48.5,15,219,4850,1
55.9,17,228,5600,1
47.2,15.5,215,4975,1
49.1,15,228,5500,1
47.3,13.8,216,4725,1
46.8,16.1,215,5500,1
41.7,14.7,210,4700,1
53.4,15.8,219,5500,1
43.3,14,208,4575,1
48.1,15.1,209,5500,1
50.5,15.2,216,5000,1
49.8,15.9,229,5950,1
43.5,15.2,213,4650,1
51.5,16.3,230,5500,1
46.2,14.1,217,4375,1
55.1,16,230,5850,1
44.5,15.7,217,4875,1
48.8,16.2,222,6000,1
47.2,13.7,214,4925,1
,,,,1
46.8,14.3,215,4850,1
50.4,15.7,222,5750,1
45.2,14.8,212,5200,1
49.9,16.1,213,5400,1
46.5,17.9,192,3500,2
50,19.5,196,3900,2
51.3,19.2,193,3650,2
45.4,18.7,188,3525,2
52.7,19.8,197,3725,2
45.2,17.8,198,3950,2
46.1,18.2,178,3250,2
51.3,18.2,197,3750,2
46,18.9,195,4150,2
51.3,19.9,198,3700,2
46.6,17.8,193,3800,2
51.7,20.3,194,3775,2
47,17.3,185,3700,2
52,18.1,201,4050,2
45.9,17.1,190,3575,2
50.5,19.6,201,4050,2
50.3,20,197,3300,2
58,17.8,181,3700,2
46.4,18.6,190,3450,2
49.2,18.2,195,4400,2
42.4,17.3,181,3600,2
48.5,17.5,191,3400,2
43.2,16.6,187,2900,2
50.6,19.4,193,3800,2
46.7,17.9,195,3300,2
52,19,197,4150,2
50.5,18.4,200,3400,2
49.5,19,200,3800,2
46.4,17.8,191,3700,2
52.8,20,205,4550,2
40.9,16.6,187,3200,2
54.2,20.8,201,4300,2
42.5,16.7,187,3350,2
51,18.8,203,4100,2
49.7,18.6,195,3600,2
47.5,16.8,199,3900,2
47.6,18.3,195,3850,2
52,20.7,210,4800,2
46.9,16.6,192,2700,2
53.5,19.9,205,4500,2
49,19.5,210,3950,2
46.2,17.5,187,3650,2
50.9,19.1,196,3550,2
45.5,17,196,3500,2
50.9,17.9,196,3675,2
50.8,18.5,201,4450,2
50.1,17.9,190,3400,2
49,19.6,212,4300,2
51.5,18.7,187,3250,2
49.8,17.3,198,3675,2
48.1,16.4,199,3325,2
51.4,19,201,3950,2
45.7,17.3,193,3600,2
50.7,19.7,203,4050,2
42.5,17.3,187,3350,2
52.2,18.8,197,3450,2
45.2,16.6,191,3250,2
49.3,19.9,203,4050,2
50.2,18.8,202,3800,2
45.6,19.4,194,3525,2
51.9,19.5,206,3950,2
46.8,16.5,189,3650,2
45.7,17,195,3650,2
55.8,19.8,207,4000,2
43.5,18.1,202,3400,2
49.6,18.2,193,3775,2
50.8,19,210,4100,2
50.2,18.7,198,3775,2
