area,perimeter,compactness,kernel_length,kernel_width,asymmetry_coefficient,groove_length,species
12.1,13.15,0.8793,5.105,2.941,2.201,5.056,2
12.44,13.59,0.8462,5.319,2.897,4.924,5.27,2
12.15,13.45,0.8443,5.417,2.837,3.638,5.338,2
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,2
11.24,13,0.8359,5.09,2.715,3.521,5.088,2
11.02,13,0.8189,5.325,2.701,6.735,5.163,2
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,2
11.27,12.97,0.8419,5.088,2.763,4.309,5,2
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,2
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,2
10.8,12.57,0.859,4.981,2.821,4.773,5.063,2
11.26,13.01,0.8355,5.186,2.71,5.335,5.092,2
10.74,12.73,0.8329,5.145,2.642,4.702,4.963,2
11.48,13.05,0.8473,5.18,2.758,5.876,5.002,2
12.21,13.47,0.8453,5.357,2.893,1.661,5.178,2
11.41,12.95,0.856,5.09,2.775,4.957,4.825,2
12.46,13.41,0.8706,5.236,3.017,4.987,5.147,2
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,2
11.65,13.07,0.8575,5.108,2.85,5.209,5.135,2
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,2
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,2
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,2
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,2
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,2
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,2
10.93,12.8,0.839,5.046,2.717,5.398,5.045,2
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,2
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,2
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,2
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,2
12.8,13.47,0.886,5.16,3.126,4.873,4.914,2
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,2
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,2
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,2
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,2
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,2
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,2
11.18,12.72,0.868,5.009,2.81,4.051,4.828,2
12.7,13.41,0.8874,5.183,3.091,8.456,5,2
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,2
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,2
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,2
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,2
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,2
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,2
